drive_frequency,Frequency,gamma_lower,gamma_upper,picture_id,color
13,6.5,0,24.2,O_13Hz_1.png,blue
13,6.5,24.2,35.9,O_13_2.png,purple
13,6.5,35.9,57.3,O_13_3.png,red
14,7,0,27.2,O_14Hz_1.png,blue
14,7,27.2,45.6,O_14Hz_2.png,purple
15,7.5,0,31.0,O_15Hz_1.png,blue
15,7.5,31.0,50,O_15_2.1.png,brown
15,7.5,31.0,50,O_15_2.2.png,brown
15,7.5,31.0,50,O_15_2.3.png,brown
16,8,0,33.5,O_16Hz_1.png,blue
16,8,33.5,34.4,O_16_2.png,red
17,8.5,0,39.2,O_17Hz_1.png,blue
17,8.5,39.2,48.2,O_17Hz_2.png,black
18,9,0,45.6,O_18Hz_1.png,blue
18,9,45.6,49.1,O_18Hz_2.png,purple
19,9.5,0,50.8,O_19Hz_1.png,blue
20,10,0,57,O_20Hz_1.png,blue
20,10,57,64.0,O_20Hz_3.tif,black
