drive_frequency,Frequency,gamma_lower,gamma_upper,picture_id,color
13,6.5,0,47.5,O_13Hz_1.png,blue
13,6.5,47.5,53.2,O_13_2.tif,purple
13,6.5,53.2,72.7,O_13_3.tif,red
14,7,0,48.2,O_14Hz_1.png,blue
14,7,48.2,61.3,O_14Hz_2.tif,purple
14,7,61.3,70,O_14Hz_3.tif,red
15,7.5,0,43.3,O_15Hz_1.png,blue
15,7.5,43.3,82.4,O_15_2.1.tif,brown
15,7.5,43.3,82.4,O_15_2.2.tif,brown
15,7.5,43.3,82.4,O_15_2.3.tif,brown
16,8,0,47.6,O_16Hz_1.png,blue
16,8,47.6,87.8,O_16_2.tif,red
17,8.5,0,48.3,O_17Hz_1.png,blue
17,8.5,48.3,77,O_17Hz_2.tif,black
18,9,0,60.0,O_18Hz_1.png,blue
18,9,60.0,69.7,O_18Hz_2.tif,purple
18,9,69.7,74.1,O_18Hz_3.tif,black
18,9,69.7,69.7,O_18Hz_2.5.tif,red
19,9.5,0,59.7,O_19Hz_1.png,blue
19,9.5,59.7,64.3,O_19Hz_2.tif,black
19,9.5,64.3,80.5,O_19Hz_3.tif,purple
20,10,0,73.0,O_20Hz_1.png,blue
20,10,73.0,76.3,O_20Hz.tif,red
20,10,76.3,80.6,O_20Hz_3.png,black
