drive_frequency,Frequency,gamma_lower,gamma_upper,picture_id,color
10,5,0,17.3,10Hz_1.png,blue
10,5,17.3,20.9,10Hz_3.tif,red
11,5.5,0,23.8,11Hz_1.tif,blue
11,5.5,23.8,27.3,11Hz_2.1.tif,brown
11,5.5,23.8,27.3,11Hz_2.2.tif,brown
11,5.5,23.8,27.3,11Hz_2.3.tif,brown
11,5.5,27.3,40.3,11Hz_3.png,red
12,6,0,16.7,12Hz_1.tif,blue
12,6,16.7,37.9,12Hz_2.1.tif,red
12,6,16.7,37.9,12Hz_2.tif,red
13,6.5,0,20.5,13Hz_1.tif,blue
13,6.5,20.5,41.2,13Hz_2.0.tif,red
14,7,0,15.0,14Hz_1.png,blue
14,7,15.0,31.1,14Hz_2.tif,red
15,7.5,0,25.1,15Hz_1.png,blue
15,7.5,25.1,32,15Hz_2.tif,red
16,8,0,26.0,16Hz_1.png,blue
16,8,26.0,34.2,16Hz_2.png,black
17,8.5,0,23.0,17Hz_1.tif,blue
17,8.5,23.0,40.5,17Hz_2.tif,black
18,9,0,22.6,18Hz_1.tif,blue
18,9,22.6,38.2,18Hz_2.tif,black
19,9.5,0,30.6,19Hz_1.tif,blue
19,9.5,30.6,54,19Hz_2.tif,black
20,10,0,28.9,20Hz_1.tif,blue
20,10,28.9,42.1,20Hz_2.tif,black
