drive_frequency,Frequency,gamma_lower,gamma_upper,picture_id,color
10,5,0,20.5,10Hz_1.png,blue
10,5,20.5,37.8,10Hz_3.tif,red
11,5.5,0,25.1,11Hz_1.tif,blue
11,5.5,25.1,47.2,11Hz_2.1.tif,brown
11,5.5,25.1,47.2,11Hz_2.2.tif,brown
11,5.5,25.1,47.2,11Hz_2.3.tif,brown
11,5.5,47.2,56.0,11Hz_3.png,red
12,6,0,19.0,12Hz_1.tif,blue
12,6,19.0,35,12Hz_2.1.tif,red
12,6,19.0,35,12Hz_2.tif,red
13,6.5,0,24.0,13Hz_1.tif,blue
13,6.5,24.0,60,13Hz_2.0.tif,red
14,7,0,25.0,14Hz_1.png,blue
14,7,25.0,56.7,14Hz_2.tif,red
15,7.5,0,28.7,15Hz_1.png,blue
15,7.5,28.7,46.2,15Hz_2.tif,red
16,8,0,31.3,16Hz_1.png,blue
16,8,31.3,51.2,16Hz_1.png,black
17,8.5,0,32.0,17Hz_1.tif,blue
17,8.5,32.0,67.7,17Hz_2.tif,black
18,9,0,35.0,18Hz_1.tif,blue
18,9,35.0,78.2,18Hz_2.tif,black
19,9.5,0,38.3,19Hz_1.tif,blue
19,9.5,38.3,85.4,19Hz_2.tif,black
20,10,0,44.3,20Hz_1.tif,blue
20,10,44.3,55,20Hz_2.tif,black
